state,year,population
AK,1999,619500
AK,2000,627963
AK,2001,633714
AK,2002,642337
AK,2003,648414
AK,2004,659286
AK,2005,666946
AK,2006,675302
AK,2007,680300
AK,2008,687455
AK,2009,698895
AK,2010,713856
AK,2011,722572
AK,2012,731081
AK,2013,737259
AL,1999,4369862
AL,2000,4452173
AL,2001,4467634
AL,2002,4480089
AL,2003,4503491
AL,2004,4530729
AL,2005,4569805
AL,2006,4628981
AL,2007,4672840
AL,2008,4718206
AL,2009,4757938
AL,2010,4785822
AL,2011,4801695
AL,2012,4817484
AL,2013,4833996
AR,1999,2551373
AR,2000,2678588
AR,2001,2691571
AR,2002,2705927
AR,2003,2724816
AR,2004,2749686
AR,2005,2781097
AR,2006,2821761
AR,2007,2848650
AR,2008,2874554
AR,2009,2896843
AR,2010,2922297
AR,2011,2938430
AR,2012,2949300
AR,2013,2958765
AZ,1999,4778332
AZ,2000,5160586
AZ,2001,5273477
AZ,2002,5396255
AZ,2003,5510364
AZ,2004,5652404
AZ,2005,5839077
AZ,2006,6029141
AZ,2007,6167681
AZ,2008,6280362
AZ,2009,6343154
AZ,2010,6411999
AZ,2011,6472867
AZ,2012,6556236
AZ,2013,6634997
CA,1999,33145121
CA,2000,33987977
CA,2001,34479458
CA,2002,34871843
CA,2003,35253159
CA,2004,35574576
CA,2005,35827943
CA,2006,36021202
CA,2007,36250311
CA,2008,36604337
CA,2009,36961229
CA,2010,37336011
CA,2011,37701901
CA,2012,38062780
CA,2013,38431393
CO,1999,4056133
CO,2000,4326921
CO,2001,4425687
CO,2002,4490406
CO,2003,4528732
CO,2004,4575013
CO,2005,4631888
CO,2006,4720423
CO,2007,4803868
CO,2008,4889730
CO,2009,4972195
CO,2010,5048575
CO,2011,5119661
CO,2012,5191709
CO,2013,5272086
CT,1999,3282031
CT,2000,3411777
CT,2001,3432835
CT,2002,3458749
CT,2003,3484336
CT,2004,3496094
CT,2005,3506956
CT,2006,3517460
CT,2007,3527270
CT,2008,3545579
CT,2009,3561807
CT,2010,3579345
CT,2011,3590537
CT,2012,3594362
CT,2013,3599341
DC,1999,519000
DC,2000,572046
DC,2001,574504
DC,2002,573158
DC,2003,568502
DC,2004,567754
DC,2005,567136
DC,2006,570681
DC,2007,574404
DC,2008,580236
DC,2009,592228
DC,2010,605210
DC,2011,620427
DC,2012,635040
DC,2013,649111
DE,1999,753538
DE,2000,786373
DE,2001,795699
DE,2002,806169
DE,2003,818003
DE,2004,830803
DE,2005,845150
DE,2006,859268
DE,2007,871749
DE,2008,883874
DE,2009,891730
DE,2010,899731
DE,2011,907829
DE,2012,916881
DE,2013,925240
FL,1999,15111244
FL,2000,16047515
FL,2001,16356966
FL,2002,16689370
FL,2003,17004085
FL,2004,17415318
FL,2005,17842038
FL,2006,18166990
FL,2007,18367842
FL,2008,18527305
FL,2009,18652644
FL,2010,18852220
FL,2011,19107900
FL,2012,19355257
FL,2013,19600311
GA,1999,7788240
GA,2000,8227303
GA,2001,8377038
GA,2002,8508256
GA,2003,8622793
GA,2004,8769252
GA,2005,8925922
GA,2006,9155813
GA,2007,9349988
GA,2008,9504843
GA,2009,9620846
GA,2010,9714464
GA,2011,9813201
GA,2012,9919000
GA,2013,9994759
HI,1999,1185497
HI,2000,1213519
HI,2001,1225948
HI,2002,1239613
HI,2003,1251154
HI,2004,1273569
HI,2005,1292729
HI,2006,1309731
HI,2007,1315675
HI,2008,1332213
HI,2009,1346717
HI,2010,1363950
HI,2011,1378251
HI,2012,1392766
HI,2013,1408987
IA,1999,2869413
IA,2000,2929067
IA,2001,2931997
IA,2002,2934234
IA,2003,2941999
IA,2004,2953635
IA,2005,2964454
IA,2006,2982644
IA,2007,2999212
IA,2008,3016734
IA,2009,3032870
IA,2010,3050295
IA,2011,3064904
IA,2012,3075935
IA,2013,3092341
ID,1999,1251700
ID,2000,1299430
ID,2001,1319962
ID,2002,1340372
ID,2003,1363380
ID,2004,1391802
ID,2005,1428241
ID,2006,1468669
ID,2007,1505105
ID,2008,1534320
ID,2009,1554439
ID,2010,1570639
ID,2011,1583780
ID,2012,1595590
ID,2013,1612843
IL,1999,12128370
IL,2000,12434161
IL,2001,12488445
IL,2002,12525556
IL,2003,12556006
IL,2004,12589773
IL,2005,12609903
IL,2006,12643955
IL,2007,12695866
IL,2008,12747038
IL,2009,12796778
IL,2010,12840097
IL,2011,12858725
IL,2012,12873763
IL,2013,12890552
IN,1999,5942901
IN,2000,6091866
IN,2001,6127760
IN,2002,6155967
IN,2003,6196638
IN,2004,6233007
IN,2005,6278616
IN,2006,6332669
IN,2007,6379599
IN,2008,6424806
IN,2009,6459325
IN,2010,6490308
IN,2011,6516560
IN,2012,6537632
IN,2013,6570713
KS,1999,2654052
KS,2000,2693681
KS,2001,2702162
KS,2002,2713535
KS,2003,2723004
KS,2004,2734373
KS,2005,2745299
KS,2006,2762931
KS,2007,2783785
KS,2008,2808076
KS,2009,2832704
KS,2010,2858949
KS,2011,2869965
KS,2012,2885966
KS,2013,2895801
KY,1999,3960825
KY,2000,4049021
KY,2001,4068132
KY,2002,4089875
KY,2003,4117170
KY,2004,4146101
KY,2005,4182742
KY,2006,4219239
KY,2007,4256672
KY,2008,4289878
KY,2009,4317074
KY,2010,4349838
KY,2011,4370038
KY,2012,4383465
KY,2013,4399583
LA,1999,4372035
LA,2000,4471885
LA,2001,4477875
LA,2002,4497267
LA,2003,4521042
LA,2004,4552238
LA,2005,4576628
LA,2006,4302665
LA,2007,4375581
LA,2008,4435586
LA,2009,4491648
LA,2010,4545581
LA,2011,4575972
LA,2012,4604744
LA,2013,4629284
MA,1999,6175169
MA,2000,6361104
MA,2001,6397634
MA,2002,6417206
MA,2003,6422565
MA,2004,6412281
MA,2005,6403290
MA,2006,6410084
MA,2007,6431559
MA,2008,6468967
MA,2009,6517613
MA,2010,6564073
MA,2011,6612270
MA,2012,6655829
MA,2013,6708874
MD,1999,5171634
MD,2000,5311034
MD,2001,5374691
MD,2002,5440389
MD,2003,5496269
MD,2004,5546935
MD,2005,5592379
MD,2006,5627367
MD,2007,5653408
MD,2008,5684965
MD,2009,5730388
MD,2010,5788101
MD,2011,5843833
MD,2012,5891819
MD,2013,5938737
ME,1999,1253040
ME,2000,1277072
ME,2001,1285692
ME,2002,1295960
ME,2003,1306513
ME,2004,1313688
ME,2005,1318787
ME,2006,1323619
ME,2007,1327040
ME,2008,1330509
ME,2009,1329590
ME,2010,1327361
ME,2011,1327930
ME,2012,1328592
ME,2013,1328702
MI,1999,9863775
MI,2000,9952450
MI,2001,9991120
MI,2002,10015710
MI,2003,10041152
MI,2004,10055315
MI,2005,10051137
MI,2006,10036081
MI,2007,10001284
MI,2008,9946889
MI,2009,9901591
MI,2010,9876498
MI,2011,9875736
MI,2012,9884781
MI,2013,9898193
MN,1999,4775508
MN,2000,4933692
MN,2001,4982796
MN,2002,5018935
MN,2003,5053572
